    PID   RSS    VSZ CMD
 122445 49600 3909160 scrcpy -s 192.168.1.101 --window-title 101 --video-bit-rate=500K -m 1024 --legacy-paste -S
 122450 51032 3786276 scrcpy -s 192.168.1.102 --window-title 102 --video-bit-rate=500K -m 1024 --legacy-paste -S
 122511  1728  85264 adb -s 192.168.1.102:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=36f9c889 log_level=info video_bit_rate=500000 max_size=1024
 122513 49360 3122732 scrcpy -s 192.168.1.103 --window-title 103 --video-bit-rate=500K -m 1024 --legacy-paste -S
 122519 50308 3517136 scrcpy -s 192.168.1.104 --window-title 104 --video-bit-rate=500K -m 1024 --legacy-paste -S
 122551 50868 3917352 scrcpy -s 192.168.1.105 --window-title 105 --video-bit-rate=500K -m 1024 --legacy-paste -S
 122618 49748 3647040 scrcpy -s 192.168.1.107 --window-title 107 --video-bit-rate=500K -m 1024 --legacy-paste -S
 122646  1536  85264 adb -s 192.168.1.103:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=3e777bd0 log_level=info video_bit_rate=500000 max_size=1024
 122657 50836 3909164 scrcpy -s 192.168.1.108 --window-title 108 --video-bit-rate=500K -m 1024 --legacy-paste -S
 122689  1344  85264 adb -s 192.168.1.105:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=00ae48aa log_level=info video_bit_rate=500000 max_size=1024
 122739  1344  85264 adb -s 192.168.1.104:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=6c6d48aa log_level=info video_bit_rate=500000 max_size=1024
 122773  1344  85264 adb -s 192.168.1.107:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=2c131584 log_level=info video_bit_rate=500000 max_size=1024
 122782  1728  85264 adb -s 192.168.1.101:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=3437c889 log_level=info video_bit_rate=500000 max_size=1024
 122788  1920  85264 adb -s 192.168.1.108:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=1a69e25e log_level=info video_bit_rate=500000 max_size=1024
 122906  2880  14008 bash
 123308 50220 2860592 scrcpy -s 192.168.1.141 --window-title 141 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123313 50704 2731268 scrcpy -s 192.168.1.142 --window-title 142 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123344 50372 3515948 scrcpy -s 192.168.1.143 --window-title 143 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123375 50160 3384880 scrcpy -s 192.168.1.144 --window-title 144 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123408  1536  85264 adb -s 192.168.1.141:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=37303e40 log_level=info video_bit_rate=500000 max_size=1024
 123409 49896 3909172 scrcpy -s 192.168.1.145 --window-title 145 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123472  1728  85264 adb -s 192.168.1.142:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=744224ad log_level=info video_bit_rate=500000 max_size=1024
 123484  1536  85264 adb -s 192.168.1.143:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=2e1e0b1a log_level=info video_bit_rate=500000 max_size=1024
 123501  1536  85264 adb -s 192.168.1.144:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=4812f187 log_level=info video_bit_rate=500000 max_size=1024
 123506  1728  85264 adb -s 192.168.1.145:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=6450d7f4 log_level=info video_bit_rate=500000 max_size=1024
 123679  2880  14008 bash
 123702 50648 2999848 scrcpy -s 192.168.1.151 --window-title 151 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123707 50748 3393076 scrcpy -s 192.168.1.152 --window-title 152 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123739 50980 4310572 scrcpy -s 192.168.1.153 --window-title 153 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123771 51460 3130920 scrcpy -s 192.168.1.154 --window-title 154 --video-bit-rate=500K -m 1024 --legacy-paste -S
 123801  1536  85264 adb -s 192.168.1.151:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=2cfce5e0 log_level=info video_bit_rate=500000 max_size=1024
 123837 50676 4310572 scrcpy -s 192.168.1.155 --window-title 155 --video-bit-rate=500K -m 1024 --legacy-paste -S
